,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
188,凱基岡山,12.0,5.1,6.9,105.33,104.9,聯邦雙和,0.0,3.18,-3.18,0.0,105.0
189,中信託忠,7.05,0.2,6.85,104.93,105.0,富邦桃園,2.13,5.25,-3.12,104.98,104.52
190,群益,12.0,5.16,6.84,105.08,105.19,元大南崁,0.0,3.1,-3.1,0.0,105.0
191,元富城中,8.01,1.3,6.71,104.94,105.0,元大北成,6.2,9.28,-3.08,105.0,105.0
192,日盛台中,9.5,3.0,6.5,104.95,105.0,合庫西台,1.0,4.08,-3.08,104.5,105.0
193,凱基斗六,6.5,0.0,6.5,105.0,0.0,國票安和,5.0,8.03,-3.03,105.1,104.75
194,凱基新莊,8.0,1.7,6.3,104.88,105.0,華南長虹,2.0,5.03,-3.03,105.0,105.0
195,新光桃園,11.29,5.01,6.29,104.96,105.1,統一永和,2.0,5.01,-3.01,104.75,105.0
196,凱基屏東,7.1,1.0,6.1,105.0,105.0,宏遠台南,4.0,7.0,-3.0,104.88,104.64
197,群益敦南,10.1,4.0,6.1,105.0,105.0,群益屏東,0.1,3.1,-3.0,105.0,105.0
198,富邦內湖,6.11,0.1,6.01,105.0,105.0,凱基內埔,0.0,3.0,-3.0,0.0,105.17
199,永豐板盛,7.0,1.0,6.0,105.0,105.0,第一高雄,4.0,7.0,-3.0,105.0,105.0
200,宏遠光隆,8.0,2.0,6.0,105.0,105.0,石橋,0.0,3.0,-3.0,0.0,105.5
201,口袋,6.0,0.0,6.0,105.0,0.0,安泰楠梓,0.0,3.0,-3.0,0.0,104.5
202,第一金證,10.0,4.0,6.0,105.15,104.75,日盛鳳山,1.0,4.0,-3.0,104.5,105.0
203,日盛中山,8.0,2.0,6.0,105.0,105.0,凱基基隆,4.0,7.0,-3.0,104.88,105.0
204,凱基永康,6.1,0.1,6.0,104.67,105.0,中銀員林,17.0,20.0,-3.0,105.0,105.0
205,凱基雙和,7.0,1.0,6.0,104.79,105.0,永豐潮州,0.0,3.0,-3.0,0.0,105.0
206,日盛員林,6.0,0.03,5.97,105.08,105.0,華南古亭,0.0,3.0,-3.0,105.0,105.33
207,玉山景美,33.1,27.22,5.88,104.74,105.11,群益瑞豐,3.01,6.0,-2.99,104.67,105.0
208,台新新莊,5.55,0.0,5.55,104.64,0.0,日盛屏東,1.05,4.0,-2.95,105.0,105.0
209,玉山雙和,6.35,1.0,5.35,105.0,105.0,國票南科,0.05,3.0,-2.95,105.0,105.0
210,玉山大里,5.3,0.05,5.25,105.0,105.0,元富大裕,4.06,7.0,-2.94,104.88,105.0
211,元大學甲,6.2,1.0,5.2,105.0,105.0,第一桃園,1.2,4.08,-2.88,104.58,104.75
212,元大崇德,10.18,5.01,5.17,104.51,105.0,元富三重,2.12,5.0,-2.88,104.76,105.0
213,富邦羅東,14.11,9.01,5.11,105.0,105.0,中國信託,89.55,92.36,-2.81,104.88,104.72
214,統一彰化,671.1,666.0,5.1,104.75,105.15,群益建成,8.3,11.1,-2.8,104.82,105.0
215,兆豐高雄,7.1,2.0,5.1,105.0,105.0,元大興安,6.39,9.1,-2.71,105.0,105.0
216,日盛雙和,6.08,1.0,5.08,104.84,105.0,元大民雄,1.5,4.02,-2.52,105.0,105.0
217,統一金門,6.0,1.0,5.0,104.58,104.5,永豐市政,1.0,3.5,-2.5,105.0,105.0
218,兆豐西螺,7.0,2.0,5.0,105.0,104.5,康和永和,2.0,4.46,-2.46,104.5,105.0
219,兆豐桃鶯,5.0,0.0,5.0,105.0,0.0,元大中港,1.0,3.46,-2.46,105.0,105.0
220,群益東大,5.0,0.0,5.0,105.0,0.0,大昌桃園,2.8,5.2,-2.4,105.0,104.9
